Age,Gender,Education Level,Job Title,Years of Experience,Salary
48,Female,Bachelor's,VP of Operations,7,102735.41
54,Female,High School,Sales Director,23,111727.46
23,Female,High School,Sales Manager,5,53011.01
36,Male,Bachelor's,Engineer,11,83502.76
50,Female,Master's,Web Developer,27,147589.74
44,Female,Bachelor's,Research Scientist,7,102846.39
43,Male,Bachelor's,Sales Associate,18,121118.97
43,Male,Bachelor's,Sales Manager,4,76250.18
31,Male,Bachelor's,Sales Director,2,64296.71
36,Male,Master's,Senior Scientist,10,108985.43
22,Male,High School,IT Support,1,49267.25
33,Female,Bachelor's,Graphic Designer,4,87053.56
55,Female,Master's,Senior Scientist,31,187199.7
64,Male,PhD,Product Manager,39,211108.39
26,Female,Bachelor's,Content Creator,1,67283.49
59,Female,Master's,Software Engineer,4,101355.48
52,Male,Bachelor's,Receptionist,11,101842.08
44,Female,Master's,Software Developer,13,143861.83
22,Male,Bachelor's,Marketing Manager,0,51829.61
34,Female,PhD,Project Engineer,2,120192.57
41,Female,PhD,Marketing Manager,0,91064.98
27,Male,Bachelor's,Financial Analyst,3,76899.64
42,Female,Bachelor's,Marketing Analyst,4,72946.29
30,Female,Master's,Product Manager,1,94235.08
28,Female,Master's,Director of Operations,1,95351.21
46,Female,High School,Director of Operations,24,115583.4
55,Male,Master's,Sales Manager,28,153773.85
27,Male,Bachelor's,Operations Manager,3,73553.79
57,Male,Master's,Product Manager,3,94912.04
59,Male,Bachelor's,Operations Manager,18,127047.11
39,Female,Bachelor's,Receptionist,9,92284.1
48,Female,Bachelor's,Sales Manager,10,99362.18
28,Female,Bachelor's,Content Creator,1,65603.69
34,Female,Bachelor's,Product Manager,8,100165.89
32,Male,Bachelor's,Sales Director,0,71955.4
41,Male,Bachelor's,Operations Manager,4,97172.56
55,Female,Bachelor's,Sales Associate,16,99638.59
30,Female,Master's,Marketing Coordinator,0,89598.75
31,Female,High School,VP of Operations,2,50135.18
55,Male,PhD,Web Developer,0,106096.12
59,Female,Bachelor's,Project Engineer,14,120351.89
22,Male,High School,Research Scientist,4,46744.13
41,Male,Bachelor's,Product Manager,7,83327.18
22,Female,High School,Director,4,52323.58
53,Female,Bachelor's,Data Scientist,27,127899.38
26,Male,Bachelor's,Marketing Manager,2,72533.47
45,Male,Bachelor's,Marketing Manager,23,113844.79
52,Male,High School,Senior Manager,18,123189.89
58,Female,Bachelor's,Business Analyst,4,93978.81
31,Male,Master's,VP of Operations,2,82265.21
39,Male,Bachelor's,Research Scientist,15,117965.53
26,Male,Master's,Director of Operations,3,86455.54
57,Male,Bachelor's,Data Analyst,21,137409.33
47,Male,Bachelor's,Marketing Manager,13,94036.92
47,Male,Master's,Operations Manager,11,118752.81
52,Female,PhD,Data Analyst,11,144308.36
37,Male,PhD,Data Scientist,6,133191.97
26,Female,Master's,Marketing Analyst,2,96241.45
42,Female,Bachelor's,Data Scientist,6,92965.98
41,Male,Master's,Account Manager,14,128447.01
37,Male,Bachelor's,Software Developer,7,81852.1
43,Female,Bachelor's,Business Analyst,14,108621.9
51,Female,High School,Software Developer,13,84040.59
32,Female,Bachelor's,Marketing Manager,9,88153.61
36,Male,High School,Marketing Coordinator,9,68688.42
37,Male,Bachelor's,Business Analyst,3,81185.88
24,Female,Bachelor's,Research Scientist,0,52838.91
32,Male,Master's,Web Developer,9,96384.12
57,Female,Bachelor's,Research Scientist,30,119209.09
33,Male,High School,Sales Associate,13,87286.52
54,Female,Master's,Software Engineer,15,137270.04
48,Male,Bachelor's,Marketing Coordinator,14,104078.95
48,Female,Master's,Software Engineer,11,120167.12
45,Female,High School,Sales Associate,0,52133.35
48,Male,Bachelor's,Sales Associate,2,81081.2
38,Male,High School,Product Manager,11,72386.66
41,Female,Master's,Marketing Manager,0,94064.85
52,Male,High School,Account Manager,12,73420.59
45,Female,Master's,Project Engineer,2,96813.07
58,Female,Bachelor's,Financial Analyst,15,123556.05
35,Male,PhD,HR Manager,2,109150.54
41,Male,Master's,Sales Associate,1,92480.38
41,Female,Master's,HR Manager,19,145673.93
37,Male,Master's,HR Manager,15,121403.54
57,Male,Bachelor's,Senior Scientist,8,101747.35
39,Male,Bachelor's,Sales Director,14,114726.29
45,Male,Bachelor's,Marketing Analyst,1,69727.3
41,Male,Bachelor's,Graphic Designer,5,82274.58
50,Male,Bachelor's,Product Manager,23,126001.52
36,Male,High School,Operations Manager,2,59049.17
56,Male,Bachelor's,Product Manager,27,155857.96
51,Female,Master's,Engineer,24,157005.59
31,Female,High School,Business Analyst,4,60007.72
33,Male,Master's,Product Manager,7,106702.1
47,Female,Bachelor's,Content Creator,5,84698.6
30,Female,Master's,Financial Analyst,8,107153.17
44,Male,Bachelor's,Research Scientist,4,87141.58
33,Female,Bachelor's,Marketing Manager,4,74854.67
41,Female,Bachelor's,Product Manager,10,103287.6
35,Female,High School,Receptionist,14,73754.54
52,Male,Master's,Data Scientist,20,143858.61
54,Male,Master's,Senior Manager,16,129429.49
60,Female,Master's,Financial Analyst,1,102730.92
52,Male,Master's,Receptionist,20,145470.18
44,Female,Bachelor's,Project Engineer,11,116615.12
38,Male,Master's,IT Support,4,93924.81
52,Female,PhD,Content Creator,5,127955.87
52,Male,High School,Web Developer,13,75598.48
48,Male,Master's,Data Analyst,12,119752.4
46,Female,Bachelor's,IT Support,14,93454.72
53,Male,Master's,Data Analyst,28,180773.31
51,Male,Bachelor's,Project Engineer,25,163342.12
57,Male,PhD,Project Engineer,5,122676.65
52,Female,High School,Marketing Analyst,5,64490.03
31,Male,Bachelor's,VP of Operations,4,74237.75
24,Male,Bachelor's,Marketing Analyst,0,72517.68
22,Female,Bachelor's,Software Engineer,0,57493.71
39,Female,High School,Product Manager,9,73452.55
50,Female,Bachelor's,Software Engineer,10,98779.02
50,Female,Bachelor's,Content Creator,28,144356.42
55,Female,Master's,Data Analyst,21,148156.47
40,Male,Master's,Marketing Manager,9,105958.11
24,Female,Bachelor's,IT Support,0,64188.98
30,Female,High School,Marketing Manager,12,79382.49
51,Male,Bachelor's,Engineer,21,127918.29
32,Male,PhD,Operations Manager,5,121782.36
28,Male,Master's,Project Engineer,1,79541.03
38,Male,Master's,Marketing Coordinator,12,123513.09
36,Male,Master's,Software Developer,8,106149.69
51,Female,Master's,Senior Manager,26,161225.01
57,Female,Bachelor's,Data Analyst,18,129952.99
36,Male,High School,Account Manager,14,89396.73
37,Male,Master's,UX Designer,2,89968.57
27,Female,Bachelor's,Research Scientist,3,83911.53
28,Male,Bachelor's,Receptionist,6,86108.39
46,Male,Bachelor's,Sales Manager,9,100462.02
45,Female,Bachelor's,Web Developer,16,119115.03
44,Male,Bachelor's,Data Analyst,1,64573.56
51,Female,High School,Financial Analyst,28,120375.02
33,Male,High School,Senior Scientist,12,94303.71
51,Male,Master's,Content Creator,16,146328.66
33,Male,Bachelor's,Marketing Manager,4,80626.85
38,Female,PhD,Data Scientist,9,128561.67
46,Male,Master's,Sales Director,21,157951.95
48,Female,Bachelor's,HR Manager,12,90273.39
43,Male,Bachelor's,UX Designer,3,77609.29
42,Male,Bachelor's,HR Manager,2,64591.79
33,Female,Bachelor's,Research Scientist,0,73425.77
54,Female,Master's,Web Developer,9,109808.47
44,Female,Bachelor's,Sales Director,9,97521.31
23,Male,Bachelor's,Account Manager,1,59718.71
52,Female,Bachelor's,Senior Manager,27,123439.45
31,Female,Master's,Sales Director,7,92280.17
53,Male,Master's,Senior Manager,16,130640.41
47,Male,Master's,Financial Analyst,14,144296.4
39,Male,Bachelor's,Marketing Coordinator,2,78511.25
42,Male,Master's,Sales Associate,6,115911.8
42,Male,High School,Product Manager,2,47655.82
35,Male,Bachelor's,Engineer,1,73056.3
55,Female,Bachelor's,Software Developer,2,74149.78
53,Female,Bachelor's,Senior Manager,1,76453.65
56,Male,Master's,UX Designer,19,129043.71
42,Female,High School,Graphic Designer,21,102826.42
48,Male,Bachelor's,Web Developer,24,147890.52
49,Male,Bachelor's,Software Engineer,7,93769.65
35,Female,Master's,Financial Analyst,8,117583.61
38,Male,Master's,Product Manager,0,90414.3
58,Male,Bachelor's,VP of Operations,30,171492.62
45,Male,Master's,Web Developer,21,164277.57
52,Female,Master's,Operations Manager,14,142869.79
26,Female,Master's,Data Analyst,3,88534.99
33,Male,Master's,Project Engineer,0,82327.57
51,Female,Bachelor's,Senior Manager,16,107075.74
54,Female,Bachelor's,Web Developer,5,80957.99
46,Female,PhD,Data Analyst,4,116804.98
51,Female,PhD,Business Analyst,6,113117.25
23,Female,Bachelor's,UX Designer,1,70626.71
51,Male,PhD,Marketing Analyst,5,124577.91
49,Female,Bachelor's,Software Developer,0,82898.2
52,Female,Master's,Product Manager,12,131245.51
36,Male,High School,Project Engineer,18,98515.3
53,Male,High School,Operations Manager,21,105457.13
51,Male,Master's,Business Analyst,10,114967.94
24,Male,Bachelor's,Engineer,2,67199.89
59,Male,PhD,Sales Manager,37,211651.16
57,Female,Bachelor's,Content Creator,17,107675.13
54,Female,Bachelor's,Project Engineer,30,130974.05
47,Female,Bachelor's,Receptionist,9,95248.43
51,Male,Master's,Product Manager,11,111257.69
28,Female,Bachelor's,VP of Operations,3,74935.51
60,Female,PhD,Senior Scientist,22,171123.97
34,Male,Bachelor's,Product Manager,0,75156.49
36,Male,Master's,UX Designer,9,112435.9
46,Male,High School,Data Scientist,6,65444.67
36,Male,Bachelor's,Receptionist,6,71911.31
46,Female,PhD,Sales Director,19,142980.42
39,Male,Bachelor's,Product Manager,14,106682.3
30,Female,PhD,Receptionist,3,106236.81
29,Male,Bachelor's,Senior Manager,7,78841.62
39,Female,High School,Web Developer,21,92571.39
58,Female,Master's,Software Developer,9,127811.1
51,Male,Bachelor's,Marketing Analyst,19,123578.01
38,Female,Master's,Operations Manager,1,92831.83
41,Male,Bachelor's,Project Engineer,14,105117.89
53,Male,PhD,IT Support,23,153210.56
33,Male,Bachelor's,Senior Scientist,8,88173.1
49,Male,Bachelor's,Sales Associate,7,85706.18
40,Female,Bachelor's,Financial Analyst,17,113792.62
38,Female,Master's,Research Scientist,5,108468.82
42,Male,Master's,Marketing Coordinator,3,88945.73
60,Male,PhD,Project Engineer,2,122639.23
23,Male,Bachelor's,Senior Scientist,1,66131.69
44,Male,Master's,Marketing Coordinator,4,105180.29
23,Female,Bachelor's,Director,0,62311.56
24,Female,Bachelor's,Financial Analyst,0,71126.0
46,Female,Bachelor's,Marketing Manager,23,142071.28
50,Male,PhD,Director of Operations,20,158630.22
25,Male,High School,Marketing Manager,3,47073.22
46,Female,Master's,HR Manager,8,112624.6
47,Female,Master's,Marketing Manager,11,117362.16
50,Female,High School,Marketing Manager,15,102366.0
58,Female,Bachelor's,Software Developer,31,166523.22
49,Female,Bachelor's,Sales Associate,4,90397.55
44,Male,Bachelor's,Data Scientist,11,96984.93
36,Female,Master's,Sales Manager,8,112222.69
60,Male,Master's,Director of Operations,24,128750.49
51,Male,Bachelor's,Director of Operations,15,99364.57
58,Female,Master's,Account Manager,19,149082.14
45,Male,Master's,Marketing Coordinator,19,145823.61
36,Female,High School,Senior Scientist,3,48484.24
61,Male,Master's,Senior Manager,14,120486.62
49,Male,High School,HR Manager,16,88983.83
32,Female,Bachelor's,Business Analyst,3,74060.73
50,Female,Master's,Sales Associate,6,109879.37
47,Female,Master's,Marketing Coordinator,3,97720.81
26,Female,Bachelor's,Receptionist,0,62396.82
58,Female,PhD,Financial Analyst,30,174072.55
40,Female,Master's,Graphic Designer,15,137751.09
22,Female,Bachelor's,Receptionist,0,56385.59
43,Male,Bachelor's,HR Manager,4,87401.78
33,Female,Bachelor's,Project Engineer,0,72591.44
31,Male,Bachelor's,Web Developer,3,86924.64
32,Female,Bachelor's,Research Scientist,1,66457.78
50,Male,Master's,Operations Manager,6,116822.48
47,Female,PhD,VP of Operations,16,167621.8
48,Female,Master's,Account Manager,0,82971.39
42,Male,Master's,IT Support,3,91876.55
34,Female,Master's,Engineer,10,112166.0
51,Female,Master's,Product Manager,20,138357.4
46,Male,PhD,Director of Operations,10,127893.75
30,Female,Bachelor's,Financial Analyst,0,71751.45
51,Male,Bachelor's,Software Developer,29,168565.13
55,Male,Master's,Web Developer,15,139747.3
56,Female,PhD,Product Manager,18,155518.76
41,Male,High School,Marketing Analyst,4,58289.13
44,Male,Master's,IT Support,0,94325.15
34,Male,Master's,Marketing Analyst,1,91160.14
43,Female,Master's,Senior Scientist,14,125452.95
59,Male,Master's,VP of Operations,4,115898.28
28,Female,Master's,Engineer,2,87445.24
52,Male,PhD,Account Manager,18,167479.35
43,Male,Master's,Research Scientist,16,149506.2
33,Female,Bachelor's,Sales Director,11,95180.94
36,Male,Bachelor's,Director,12,110079.11
26,Female,Bachelor's,Engineer,2,71436.37
28,Female,High School,Marketing Coordinator,8,58080.73
31,Female,Bachelor's,VP of Operations,3,78926.68
41,Male,Master's,Operations Manager,2,96416.97
43,Male,PhD,VP of Operations,9,139260.91
46,Male,High School,Director of Operations,22,112456.87
44,Female,PhD,Marketing Analyst,6,133054.45
31,Male,Bachelor's,Business Analyst,6,76974.43
32,Female,High School,Engineer,13,77532.72
31,Male,High School,Graphic Designer,4,55610.62
57,Male,Master's,Director,5,102934.85
52,Male,Bachelor's,Senior Scientist,9,105548.28
39,Male,Bachelor's,Marketing Analyst,16,92011.72
54,Female,Bachelor's,Engineer,17,130420.22
42,Male,High School,Software Developer,21,81479.44
44,Female,Bachelor's,Business Analyst,10,109310.88
44,Male,Bachelor's,Director of Operations,10,95627.62
60,Male,PhD,Financial Analyst,35,223002.56
58,Male,Master's,Director of Operations,32,166170.0
55,Male,Bachelor's,Sales Associate,23,142305.34
37,Male,Bachelor's,Software Developer,2,68514.73
57,Female,Bachelor's,Marketing Coordinator,31,173202.26
55,Female,Bachelor's,Receptionist,32,172717.91
28,Female,Bachelor's,Senior Scientist,2,73717.24
31,Male,Bachelor's,Graphic Designer,7,79065.17
30,Male,Bachelor's,UX Designer,7,74475.84
48,Female,Master's,Senior Scientist,20,145119.49
47,Female,High School,Graphic Designer,29,103784.41
30,Male,High School,Software Engineer,7,62706.39
54,Male,Bachelor's,Graphic Designer,31,166274.2
49,Male,Master's,Marketing Analyst,8,124236.04
55,Male,Bachelor's,Graphic Designer,27,139199.32
44,Female,Master's,IT Support,10,110222.38
52,Male,Bachelor's,Business Analyst,18,111144.12
26,Female,Master's,Data Scientist,1,85427.18
22,Female,High School,Sales Associate,4,45795.5
57,Female,Master's,VP of Operations,21,169795.35
61,Male,Master's,VP of Operations,37,200380.03
55,Male,Bachelor's,Receptionist,27,140117.0
49,Female,High School,Business Analyst,12,73014.12
23,Female,High School,HR Manager,1,46861.25
47,Male,Master's,Software Developer,5,107732.98
32,Male,Master's,Engineer,10,110399.39
24,Female,Bachelor's,Product Manager,0,65273.84
40,Male,Bachelor's,Financial Analyst,6,89078.45
39,Female,Master's,Marketing Coordinator,0,76076.44
35,Female,Master's,VP of Operations,8,113011.88
53,Male,Master's,Project Engineer,25,165583.07
35,Female,Bachelor's,Financial Analyst,1,80067.77
56,Male,Bachelor's,Research Scientist,7,90514.62
42,Male,Master's,Content Creator,16,154077.11
57,Male,Bachelor's,Engineer,17,109276.99
46,Male,Bachelor's,Data Analyst,20,133750.0
43,Female,Master's,Sales Manager,10,130276.43
48,Male,High School,Web Developer,4,67648.33
58,Female,Bachelor's,Project Engineer,7,91781.15
60,Male,Master's,Data Scientist,29,189801.69
25,Male,Master's,Account Manager,0,78663.68
59,Male,Master's,Account Manager,24,141782.29
42,Male,Bachelor's,VP of Operations,13,96310.73
42,Male,High School,Software Engineer,8,79124.24
51,Male,Master's,Data Scientist,14,120513.5
51,Male,Bachelor's,Product Manager,0,76857.19
33,Male,Master's,Business Analyst,1,99415.56
54,Female,Bachelor's,IT Support,4,94768.33
22,Female,High School,Software Developer,2,52344.89
53,Male,Master's,Director of Operations,8,108061.36
58,Male,Bachelor's,Engineer,26,129595.65
44,Male,High School,Sales Manager,13,81477.63
49,Male,Bachelor's,Software Developer,2,75105.02
50,Female,PhD,Sales Associate,11,149790.67
51,Female,Master's,Receptionist,25,141395.82
33,Female,Master's,UX Designer,9,120143.57
28,Male,Bachelor's,Financial Analyst,6,88282.15
22,Female,Bachelor's,Software Engineer,0,62911.88
54,Male,Bachelor's,Sales Associate,17,113139.81
35,Female,Bachelor's,Marketing Manager,5,77871.91
28,Female,Bachelor's,Software Developer,2,80742.45
64,Male,PhD,Senior Scientist,10,142145.39
33,Female,Bachelor's,Engineer,8,92002.59
49,Female,Master's,Marketing Analyst,15,125700.19
30,Female,PhD,IT Support,5,112537.93
57,Male,Bachelor's,Data Analyst,20,121302.19
29,Male,PhD,Data Analyst,3,110182.1
26,Female,Master's,Data Analyst,3,84682.63
54,Male,Master's,IT Support,16,140477.61
59,Male,Master's,Account Manager,20,133179.85
29,Male,Master's,HR Manager,3,88175.24
52,Female,Master's,Marketing Analyst,21,167534.25
60,Female,Master's,Business Analyst,37,181103.0
38,Female,Bachelor's,Engineer,13,97873.99
56,Female,Bachelor's,Project Engineer,26,126258.0
43,Female,Bachelor's,Marketing Analyst,20,120344.15
47,Female,Master's,UX Designer,17,128781.15
30,Male,Bachelor's,Receptionist,1,71716.63
62,Male,PhD,Research Scientist,15,146161.06
30,Female,Bachelor's,Operations Manager,6,83100.59
44,Female,PhD,Financial Analyst,2,124652.05
40,Male,Bachelor's,Data Scientist,6,100269.81
50,Female,Master's,Business Analyst,9,101153.35
51,Female,PhD,Receptionist,4,129723.32
53,Female,Bachelor's,UX Designer,12,106998.42
59,Female,Master's,IT Support,11,121349.64
46,Male,Bachelor's,Engineer,19,109554.53
34,Male,Bachelor's,IT Support,1,63926.36
29,Female,Bachelor's,Data Scientist,2,64102.7
59,Male,Bachelor's,HR Manager,37,160657.65
26,Female,Master's,Project Engineer,4,90725.84
47,Female,Master's,Content Creator,16,132648.01
60,Male,Master's,Sales Manager,12,139406.11
54,Male,High School,Sales Director,8,82759.39
36,Female,Bachelor's,Data Analyst,7,87909.78
55,Female,PhD,Data Analyst,4,127663.0
27,Male,Bachelor's,Web Developer,3,81674.76
29,Female,Bachelor's,Financial Analyst,2,76629.12
49,Female,Bachelor's,Software Developer,19,128306.65
53,Male,Bachelor's,Content Creator,16,110392.53
50,Male,Bachelor's,Business Analyst,15,108381.21
27,Female,Master's,Senior Manager,5,103855.32
45,Female,Bachelor's,VP of Operations,7,100385.38
45,Female,High School,Senior Manager,25,109766.08
25,Male,High School,Sales Director,5,69079.29
38,Male,Bachelor's,VP of Operations,1,63081.07
59,Female,Master's,UX Designer,14,125735.31
49,Male,Master's,Director of Operations,16,151251.88
36,Female,Master's,Senior Scientist,1,85251.67
43,Male,Master's,Senior Scientist,20,120081.13
58,Male,Bachelor's,Operations Manager,21,131192.89
57,Male,Bachelor's,Product Manager,1,75215.15
34,Male,High School,Research Scientist,11,81786.71
34,Female,Bachelor's,Data Analyst,0,71229.16
53,Male,Master's,Graphic Designer,20,126617.13
44,Female,Bachelor's,Data Analyst,3,82786.89
29,Female,PhD,UX Designer,7,121164.84
30,Female,Master's,Director,2,92412.58
47,Male,Bachelor's,Marketing Analyst,16,110099.08
23,Female,Bachelor's,Receptionist,1,63396.87
33,Male,Bachelor's,Sales Manager,1,64774.04
43,Male,Master's,Receptionist,16,143846.26
28,Male,High School,VP of Operations,0,49488.93
45,Male,Master's,Data Analyst,18,135164.92
41,Male,High School,Marketing Coordinator,20,104459.92
30,Male,Bachelor's,Director of Operations,6,87062.88
32,Female,PhD,Director of Operations,3,99283.33
29,Female,Master's,Project Engineer,0,84379.34
52,Male,Master's,Sales Associate,15,149200.31
41,Female,Bachelor's,Data Analyst,8,81246.59
34,Female,Bachelor's,Graphic Designer,6,77972.73
55,Male,Master's,Sales Associate,24,152609.31
44,Male,Bachelor's,VP of Operations,22,118144.48
31,Male,PhD,Software Engineer,0,97780.36
55,Male,Bachelor's,Receptionist,29,157035.59
36,Male,Bachelor's,Product Manager,2,73183.93
38,Male,Bachelor's,Project Engineer,6,84385.75
47,Female,PhD,Sales Director,0,109125.87
32,Male,Bachelor's,Graphic Designer,6,81494.2
40,Female,Bachelor's,Graphic Designer,3,80051.64
51,Female,Master's,Business Analyst,22,150286.55
54,Female,Bachelor's,Project Engineer,20,130765.49
50,Female,PhD,Business Analyst,16,163530.85
50,Female,Bachelor's,Director,15,123510.96
49,Male,Master's,Director,26,169497.28
54,Female,High School,UX Designer,14,99376.79
53,Female,Bachelor's,Director,29,136048.09
35,Female,Bachelor's,Marketing Coordinator,3,78337.94
59,Female,Bachelor's,Sales Manager,4,77844.6
40,Female,PhD,Software Developer,10,134736.09
40,Female,Bachelor's,Data Analyst,14,123905.55
58,Male,Bachelor's,Data Scientist,24,136298.02
30,Male,Bachelor's,Business Analyst,6,78806.6
29,Female,PhD,Web Developer,6,120889.55
25,Male,Bachelor's,Sales Associate,3,75304.88
25,Female,Master's,Data Analyst,2,90719.68
30,Male,Bachelor's,Engineer,8,82563.49
42,Female,Bachelor's,HR Manager,4,88812.11
25,Male,Bachelor's,Graphic Designer,2,68778.7
32,Male,Bachelor's,Receptionist,1,62356.31
49,Male,High School,Receptionist,12,67925.77
41,Male,Bachelor's,Content Creator,3,70333.69
47,Male,High School,Operations Manager,10,63368.19
58,Female,Bachelor's,IT Support,33,191430.46
53,Male,Bachelor's,Business Analyst,23,119633.74
45,Male,Master's,Marketing Analyst,20,147983.87
36,Female,Bachelor's,Marketing Manager,10,105144.32
23,Male,Bachelor's,Marketing Coordinator,1,71661.45
27,Male,High School,Sales Associate,1,47113.64
36,Female,Master's,Content Creator,2,97267.66
51,Female,Bachelor's,Director of Operations,24,148676.19
29,Male,Bachelor's,Senior Scientist,1,66139.26
34,Female,Master's,HR Manager,12,121764.81
45,Female,Master's,Senior Manager,21,165155.7
52,Male,Master's,HR Manager,6,100595.35
54,Male,Bachelor's,Marketing Analyst,20,121886.54
53,Female,Bachelor's,Web Developer,29,136786.39
45,Male,Master's,Software Developer,10,126109.55
26,Female,Bachelor's,Senior Manager,3,69102.56
39,Female,Master's,Operations Manager,13,131322.12
51,Male,Master's,Web Developer,28,165254.32
47,Male,Master's,Research Scientist,8,109641.03
39,Male,Bachelor's,Data Scientist,15,111848.3
35,Male,Master's,Senior Scientist,10,113186.95
51,Female,Bachelor's,UX Designer,8,93657.15
43,Male,High School,Business Analyst,12,84377.4
57,Female,Bachelor's,IT Support,16,120019.02
41,Male,High School,Sales Director,18,113207.02
57,Male,Master's,Sales Associate,18,126344.86
50,Female,Bachelor's,VP of Operations,9,104391.03
37,Male,Bachelor's,Web Developer,1,59331.09
53,Female,Bachelor's,Senior Manager,13,108195.38
45,Male,Bachelor's,Software Developer,12,106844.44
51,Male,Master's,Sales Director,3,107140.88
38,Male,Master's,Receptionist,8,109149.86
46,Female,PhD,Sales Director,22,171052.71
54,Female,Master's,Senior Scientist,26,147764.65
34,Male,Bachelor's,VP of Operations,5,82575.92
41,Male,Bachelor's,Director,2,70729.28
27,Female,Bachelor's,Product Manager,5,81126.58
28,Female,High School,Senior Scientist,7,72201.49
59,Male,Bachelor's,Sales Manager,37,147212.15
23,Female,Bachelor's,Marketing Coordinator,0,55546.85
33,Female,Bachelor's,Operations Manager,7,92498.06
23,Male,Bachelor's,Web Developer,0,66895.26
50,Female,Bachelor's,Account Manager,6,91114.63
28,Female,Bachelor's,Data Analyst,2,68582.78
27,Male,Bachelor's,Product Manager,0,66853.81
54,Male,Bachelor's,IT Support,22,115269.03
36,Female,Bachelor's,Software Engineer,8,91146.88
28,Female,Master's,Financial Analyst,3,98150.92
30,Female,Bachelor's,Software Engineer,6,86441.43
32,Female,Bachelor's,Web Developer,1,80294.46
31,Male,Master's,Data Scientist,2,95113.95
24,Female,Bachelor's,Marketing Manager,1,67321.55
53,Male,Master's,Receptionist,9,117273.79
49,Male,Master's,Software Engineer,12,115686.56
54,Male,Bachelor's,Marketing Manager,30,128786.02
54,Male,Master's,Marketing Manager,27,152130.45
29,Female,PhD,Marketing Coordinator,3,105601.74
58,Female,PhD,HR Manager,12,141443.23
25,Male,Bachelor's,UX Designer,3,84627.11
28,Female,Bachelor's,Financial Analyst,1,69821.98
35,Female,High School,Data Scientist,17,98298.85
51,Female,Bachelor's,Research Scientist,7,93588.13
40,Male,Master's,UX Designer,7,110297.53
32,Female,PhD,Financial Analyst,5,111768.44
33,Female,Master's,Director of Operations,8,103884.96
55,Male,Bachelor's,Software Developer,27,122407.08
38,Female,PhD,Director,5,119718.03
51,Male,Master's,Project Engineer,0,108563.71
46,Male,Bachelor's,VP of Operations,11,90780.52
35,Male,Bachelor's,Marketing Coordinator,12,98723.78
34,Male,Master's,UX Designer,3,97378.18
59,Male,Bachelor's,Data Scientist,31,166369.92
52,Male,PhD,Senior Scientist,25,196842.36
48,Female,PhD,Content Creator,26,164377.99
